section,count
301,17
302,6
303,7
304,4
305,4
306,7
307,6
308,7
309,10
310,10
311,6
312,8
314,12
315,12
317,15
318,11
319,7
320,2
321,7
322,3
323,9
324,10
325,5
326,3
327,5
329,0
330,0
331,6
332,1
333,3
334,4
335,2
336,8
337,6
338,3
339,1
340,3
341,1
342,2
343,2
344,3
345,5
346,5
347,4
348,4
349,2
350,3
351,0
352,1
353,8
354,7
355,0
356,0
357,1
358,0
359,12
360,0
361,0
362,2
363,7
364,10
365,2
366,13
367,8
368,9
369,14
370,11
371,10
372,10
373,11
374,10
375,10
376,9
377,7
378,2
379,9
380,8
381,0
382,2
383,0
384,0
385,0
386,4
387,0
388,5
389,11
390,8
391,4
393,5
395,5
397,13
399,12
400,13
401,8
402,9
403,8
404,8
405,12
406,13
407,14
408,12
409,13
410,9
411,13
412,15
413,12
414,10
415,11
416,6
417,7
418,5
420,7
421,9
422,1
423,11
425,13
426,12
427,12
428,17
430,10
431,9
432,13
313a,8
313b,7
316a,12
316b,16
316c,16
316d,15
328a,10
328b,11
392a,10
392b,9
394a,14
394b,13
396a,24
396b,19
396c,20
396d,19
398b,22
398c,20
419a,18
419b,18
424a,13
424b,12
428b,17
